disease,cell_type,down_genes,down_reg_scores,up_genes,up_reg_scores
DOID:9408,Peripheral blood,"['COX2' 'PPBP' 'RGS2' 'STRADB' 'ND2' 'RGS18' 'RAP1B' 'MAP3K7CL' 'ND6'
 'RPS5' 'YBX1' 'DCAF6' 'KLRB1' 'RPS4Y1' 'SRGN' 'KLRF1' 'SNHG5' 'COX1'
 'GZMA' 'GOLGA8H']","['-0.26115643978118896' '-0.18346135318279266' '-0.14140565693378448'
 '-0.13579055666923523' '-0.1354285031557083' '-0.13357897102832794'
 '-0.12735676765441895' '-0.11813638359308243' '-0.11406395584344864'
 '-0.1094646081328392' '-0.10631917417049408' '-0.1048937514424324'
 '-0.10344014316797256' '-0.09913741797208786' '-0.09778045862913132'
 '-0.09670449048280716' '-0.08812940120697021' '-0.08240694552659988'
 '-0.08019911497831345' '-0.07690750807523727']","['S100A9' 'RPS11' 'S100A8' 'S100A12' 'RPSA' 'RPS4X' 'HBM' 'RPL38' 'FTH1P5'
 'TMSB10' 'RPLP0' 'IFI27' 'S100P' 'S100A4' 'RPL39' 'ACTG1' 'TUBA1A'
 'TALDO1' 'RPL41' 'CYAT1']","['0.317428857088089' '0.18466418981552124' '0.15969181060791016'
 '0.1480012834072113' '0.13162419199943542' '0.10345838963985443'
 '0.10294909030199051' '0.10030946880578995' '0.09423321485519409'
 '0.07995475828647614' '0.07740091532468796' '0.07666388154029846'
 '0.0752425491809845' '0.06868095695972443' '0.06047673523426056'
 '0.06037944555282593' '0.05869462713599205' '0.05848151445388794'
 '0.0569489486515522' '0.054309431463479996']"
DOID:8337,Appendix,"['CLCA1' 'FABP1' 'LGALS4' 'FOS' 'ACTG2' 'CYAT1' 'ZFP36' 'TSPAN8' 'SEPP1'
 'DEFA5' 'FCGBP' 'CTGF' 'TAGLN' 'ADAMDEC1' 'CA2' 'MT1E' 'FOSB' 'PCK1'
 'TSC22D1' 'A2M']","['-0.18826057016849518' '-0.17053963243961334' '-0.16845324635505676'
 '-0.14335425198078156' '-0.1429470181465149' '-0.1368202567100525'
 '-0.11405088007450104' '-0.11188554018735886' '-0.08850380033254623'
 '-0.08817246556282043' '-0.0881289392709732' '-0.08709382265806198'
 '-0.08532863110303879' '-0.08137321472167969' '-0.08134248852729797'
 '-0.08057546615600586' '-0.08034952729940414' '-0.07753413915634155'
 '-0.07749103754758835' '-0.07552751153707504']","['TIMP1' 'IFI30' 'FTH1P5' 'IGHV4-31' 'VIM' 'S100A9' 'RPL7A' 'HSPA8'
 'ANXA2' 'HSP90AA1' 'FTH1' 'RPL24' 'RPL11' 'RPL8' 'RPS9' 'MMP12' 'SRGN'
 'RPL35' 'RPS3' 'BASP1']","['0.1889188587665558' '0.11786644905805588' '0.09220486879348755'
 '0.08583709597587585' '0.0743061751127243' '0.07164839655160904'
 '0.0683424174785614' '0.06777356564998627' '0.0675559788942337'
 '0.06527429819107056' '0.06477797031402588' '0.06451702862977982'
 '0.06395295262336731' '0.0637662261724472' '0.06222759187221527'
 '0.06218007579445839' '0.06114427000284195' '0.06106708198785782'
 '0.060893625020980835' '0.05900983139872551']"
DOID:13406,Lungs,"['SCGB3A2' 'SFTPA2' 'LPCAT1' 'NAPSA' 'NPC2' 'MCEMP1' 'SFTPC' 'CD52'
 'IFI30' 'ALDH2' 'CES1' 'CEACAM6' 'ACTB' 'CTSH' 'PGC' 'CD63' 'KRT18'
 'C4BPA' 'VSIG4' 'ALOX5AP']","['-0.17910391092300415' '-0.16517582535743713' '-0.11947502195835114'
 '-0.11915960907936096' '-0.11419755220413208' '-0.10141579806804657'
 '-0.10076198726892471' '-0.09824736416339874' '-0.09591950476169586'
 '-0.08987214416265488' '-0.08915410935878754' '-0.08819230645895004'
 '-0.08750717341899872' '-0.08634191006422043' '-0.08514788746833801'
 '-0.0816376730799675' '-0.07929087430238724' '-0.07854681462049484'
 '-0.07373113185167313' '-0.0729530081152916']","['HLA-A' 'LYZ' 'HLA-DRB4' 'HLA-DRA' 'HLA-B' 'HLA-DRB5' 'MT2A'
 'LOC100510519' 'CXCL9' 'RPL32' 'SCGB1A1' 'CTSK' 'HLA-C' 'EIF3E' 'HIF1A'
 'LUM' 'TMSB10' 'RPS29' 'RPL21' 'TIMP1']","['0.19847936928272247' '0.15899373590946198' '0.14605176448822021'
 '0.125360906124115' '0.11723066866397858' '0.11584407091140747'
 '0.09707286953926086' '0.0937838926911354' '0.08866076171398163'
 '0.07329342514276505' '0.07115983963012695' '0.06409504264593124'
 '0.06399042904376984' '0.06291048973798752' '0.06279311329126358'
 '0.05911977216601372' '0.058356184512376785' '0.05794104188680649'
 '0.05612756311893463' '0.05528606101870537']"
DOID:13372,Lung Tissue,"['PGC' 'SLC36A2' 'GPX3' 'SLPI' 'MT2A' 'SPARCL1' 'RPLP0' 'RPL4' 'RPS19'
 'OAZ1' 'RPSAP19' 'RPL7A' 'RPS6' 'DSTN' 'RPL35' 'RPL18' 'TXNIP' 'RPLP1'
 'RPL39' 'TAGLN']","['-0.17072530090808868' '-0.14492619037628174' '-0.1132749617099762'
 '-0.1111702173948288' '-0.10020177811384201' '-0.09432287514209747'
 '-0.08531161397695541' '-0.08260182291269302' '-0.0761522650718689'
 '-0.07527138292789459' '-0.07069780677556992' '-0.07012934982776642'
 '-0.06718176603317261' '-0.0665326714515686' '-0.0659836158156395'
 '-0.06574519723653793' '-0.06486430764198303' '-0.06454138457775116'
 '-0.062345147132873535' '-0.062216609716415405']","['HBD' 'FOSB' 'IGHA2' 'SCGB1A1' 'HLA-DRA' 'ZFP36' 'SFTPA2' 'JUND' 'NFKBIA'
 'CD74' 'IGK' 'CXCL2' 'IGLV1-44' 'EEF1A1' 'FHL1' 'FOS' 'B2M' 'CAV1'
 'IGHV4-31' 'FTL']","['0.3502509891986847' '0.24551649391651154' '0.20910239219665527'
 '0.1959136426448822' '0.1937304139137268' '0.1636877804994583'
 '0.1488962471485138' '0.14237123727798462' '0.11024048924446106'
 '0.10771500319242477' '0.10740572214126587' '0.10576191544532776'
 '0.0984489917755127' '0.09840163588523865' '0.09394197165966034'
 '0.08923785388469696' '0.08744021505117416' '0.08256018161773682'
 '0.07659020274877548' '0.07621560990810394']"
DOID:9008,Whole blood,"['PDRG1' 'PROK2' 'LINC00661' 'FPR2' 'TBX21' 'P2RY14' 'IL18RAP' 'ZNF831'
 'CD163' 'SELL' 'EMR3' 'GBP5' 'RSAD2' 'TMEM154' 'KAAG1' 'TCL1A' 'ANKRD52'
 'IFIT2' 'GZMA' 'APOBEC3A']","['-0.7118616104125977' '-0.3747532367706299' '-0.1674230545759201'
 '-0.11077422648668289' '-0.10370858013629913' '-0.09514971077442169'
 '-0.07571732997894287' '-0.07118568569421768' '-0.07081150263547897'
 '-0.05044282600283623' '-0.048314452171325684' '-0.04701278731226921'
 '-0.03430638834834099' '-0.03338000923395157' '-0.033326853066682816'
 '-0.02968188002705574' '-0.029398566111922264' '-0.028054269030690193'
 '-0.027142778038978577' '-0.026677582412958145']","['TMEM53' 'DEFA3' 'MNDA' 'AQP9' 'S100A8' 'NRROS' 'VNN2' 'RGS18' 'FCGR3A'
 'PPBP' 'GPR65' 'BTNL8' 'LTB' 'DEFA4' 'CAMP' 'KIAA1257' 'S100A12' 'HBM'
 'FPR1' 'CSTA']","['0.3435247540473938' '0.18949003517627716' '0.18281038105487823'
 '0.12856988608837128' '0.09419705718755722' '0.08345602452754974'
 '0.05850833281874657' '0.04847712069749832' '0.042285557836294174'
 '0.032207075506448746' '0.030953045934438705' '0.029796460643410683'
 '0.029116202145814896' '0.028125176206231117' '0.027898726984858513'
 '0.02785346657037735' '0.02513776533305645' '0.02417595498263836'
 '0.023094048723578453' '0.02245383895933628']"
DOID:1555,Skin,"['TXNIP' 'SNORD13' 'SNORD41' 'DCN' 'RNU1-1' 'NBPF20' 'NBPF19' 'LCE2B'
 'KRTAP4-7' 'KRTAP4-11' 'COL1A2' 'APOD' 'KRTAP4-9' 'SNORD116-15' 'MUCL1'
 'PDCD4' 'LCE2A' 'FLG2' 'RN7SK' 'RNU2-2P']","['-0.13482606410980225' '-0.11136146634817123' '-0.08494597673416138'
 '-0.08092968910932541' '-0.07889001071453094' '-0.07362919300794601'
 '-0.07084228098392487' '-0.06918111443519592' '-0.06675146520137787'
 '-0.06619788706302643' '-0.061974186450242996' '-0.06115955486893654'
 '-0.06074223667383194' '-0.05885375291109085' '-0.05668767914175987'
 '-0.055587850511074066' '-0.05374307557940483' '-0.04913480579853058'
 '-0.04687366262078285' '-0.04571022838354111']","['MT2A' 'THBS1' 'HSPA8' 'NAMPT' 'FGL2' 'RNU5E-1' 'ACTG1' 'STEAP4' 'CTSL'
 'SOD2' 'LDHA' 'MAT2A' 'TIMP1' 'ACTB' 'CCL2' 'NCL' 'SRGN' 'EIF5AL1'
 'HSP90AB1' 'ENO1']","['0.27054068446159363' '0.25519177317619324' '0.23575396835803986'
 '0.21037830412387848' '0.14432010054588318' '0.14016635715961456'
 '0.1394122838973999' '0.13527724146842957' '0.13023315370082855'
 '0.12538909912109375' '0.11745475977659225' '0.11242904514074326'
 '0.09799861162900925' '0.09597168117761612' '0.09397079050540924'
 '0.09318110346794128' '0.09016953408718109' '0.08229639381170273'
 '0.08137626200914383' '0.08118598163127899']"
DOID:1574,endothelial cells and neurons from dorsolateral prefrontal cortex,"['CCL8' 'FOXR2' 'ZBTB8A' 'C2orf74' 'RILPL2' 'CXCL10' 'ZNF493' 'SLC16A14'
 'RAD21-AS1' 'LOC158402' 'LINC00537' 'CXCL9' 'GCH1' 'LOC100133581' 'GAR1'
 'LOC100130331' 'C9orf38' 'DPPA3' 'C15orf40' 'LOC100507186']","['-0.16631992161273956' '-0.11495780199766159' '-0.10402131080627441'
 '-0.09540727734565735' '-0.09466790407896042' '-0.09403423964977264'
 '-0.0910801887512207' '-0.08981133997440338' '-0.08395372331142426'
 '-0.08174853026866913' '-0.07681228965520859' '-0.07486987859010696'
 '-0.07007171213626862' '-0.0700131505727768' '-0.06512164324522018'
 '-0.06349914520978928' '-0.05901869013905525' '-0.05804148316383362'
 '-0.05686631426215172' '-0.054193392395973206']","['LOC389765' 'TRIM73' 'EOMES' 'TIGD1' 'HDHD2' 'BTAF1' 'CT45A2' 'P2RY14'
 'ITIH4' 'DROSHA' 'C2orf80' 'LOC286437' 'LOC100130232' 'LOC100288009'
 'LOC100510649' 'APOD' 'LOC100505656' 'BTN3A2' 'LMO2' 'RNF182']","['0.13012997806072235' '0.09091390669345856' '0.08887838572263718'
 '0.07115663588047028' '0.06998805701732635' '0.06930720061063766'
 '0.06843514740467072' '0.06790923327207565' '0.06421764940023422'
 '0.05955534800887108' '0.0585593543946743' '0.05692699924111366'
 '0.05667315796017647' '0.055616650730371475' '0.05286144092679024'
 '0.05153058469295502' '0.05130872130393982' '0.05079610273241997'
 '0.05076519399881363' '0.050242260098457336']"
DOID:9997,Left Ventricle Apex Tissue,"['RN7SL2' 'APOD' 'ACTA1' 'MYH6' 'TTN' 'PTP4A3' 'SNORD116-15' 'CCL2'
 'FBXO32' 'MLLT11' 'MYOM1' 'FHL2' 'APOBEC2' 'HLA-A' 'A2M' 'IFITM1' 'DES'
 'TNNT2' 'SLC41A1' 'CIRBP']","['-0.1509772092103958' '-0.13881029188632965' '-0.13387738168239594'
 '-0.12915217876434326' '-0.12202005088329315' '-0.09752055257558823'
 '-0.07936667650938034' '-0.07898185402154922' '-0.0782303735613823'
 '-0.07258529961109161' '-0.07014967501163483' '-0.06845273822546005'
 '-0.06671212613582611' '-0.06629148125648499' '-0.06461852788925171'
 '-0.06420370936393738' '-0.06338724493980408' '-0.06184814125299454'
 '-0.06131758540868759' '-0.058548953384160995']","['TXNIP' 'ANKRD1' 'HSPA8' 'HSPB1' 'FABP3' 'UBC' 'MIR675' 'SPARC' 'MB'
 'CD36' 'SNORD13' 'LPL' 'MYOM2' 'EIF1AY' 'TECRL' 'HSPA1A' 'HSP90AB1'
 'EGLN3' 'LUM' 'MYL12B']","['0.26884782314300537' '0.25026389956474304' '0.22090621292591095'
 '0.1856490969657898' '0.14454293251037598' '0.12136803567409515'
 '0.11175282299518585' '0.09893262386322021' '0.09502456337213516'
 '0.09185894578695297' '0.09148108959197998' '0.08805566281080246'
 '0.08793191611766815' '0.08201559633016586' '0.0745362713932991'
 '0.06698288023471832' '0.05848390981554985' '0.057855214923620224'
 '0.05754169821739197' '0.05634169653058052']"
DOID:381,Chondrocyte,"['RPS4Y1' 'F3' 'CYR61' 'STC2' 'SLC7A5' 'CCL2' 'PDIA5' 'NTN4' 'GREM1'
 'ADAMTS1' 'NDUFA4L2' 'DDIT4' 'EIF3CL' 'PXDN' 'GBE1' 'SDC4' 'SNHG5'
 'MIR4435-1HG' 'ELN' 'BNIP3']","['-0.38424235582351685' '-0.11935103684663773' '-0.11591284722089767'
 '-0.09329479932785034' '-0.09103897958993912' '-0.09051531553268433'
 '-0.08377743512392044' '-0.07235192507505417' '-0.06631723046302795'
 '-0.06314562261104584' '-0.058598581701517105' '-0.05687380209565163'
 '-0.05652057006955147' '-0.05244695767760277' '-0.05168399214744568'
 '-0.046951472759246826' '-0.046519242227077484' '-0.044482190161943436'
 '-0.04444366320967674' '-0.04402424395084381']","['S100A4' 'COX2' 'RPL41' 'EEF1A1P9' 'TMSB10' 'TPT1' 'ND2' 'DCAF6' 'IGFBP3'
 'TUBA1A' 'TMSB4XP8' 'COX1' 'ACTG1' 'SCRG1' 'ID1' 'RPL13AP5' 'RPS4X'
 'SH3KBP1' 'PPAP2B' 'HTRA1']","['0.1605745255947113' '0.10976064205169678' '0.10346974432468414'
 '0.09573982656002045' '0.09571409225463867' '0.09470314532518387'
 '0.09367223083972931' '0.09160761535167694' '0.09142459183931351'
 '0.08756507188081741' '0.08555006235837936' '0.08530537784099579'
 '0.08317205309867859' '0.08262992650270462' '0.07933350652456284'
 '0.07924215495586395' '0.07865789532661438' '0.07755038887262344'
 '0.0773208737373352' '0.07703106850385666']"
DOID:4674,Fibroblast,"['MMP24-AS1' 'LINC01119' 'LOC286191' 'MRPL17' 'RNF169' 'TIGD2' 'PI16'
 'UBE3D' 'CDH8' 'SV2B' 'ZIM2' 'ITGB3BP' 'ARHGEF33' 'FLJ20021' 'LIMCH1'
 'TIMP3' 'WNT2' 'PTPN21' 'ARHGAP28' 'ELN']","['-0.09530982375144958' '-0.07406537234783173' '-0.07207537442445755'
 '-0.07027321308851242' '-0.06936472654342651' '-0.05892150476574898'
 '-0.057417724281549454' '-0.05601058900356293' '-0.055260587483644485'
 '-0.05334023758769035' '-0.05329735577106476' '-0.04717905819416046'
 '-0.043600402772426605' '-0.04336027055978775' '-0.04254162311553955'
 '-0.04187452048063278' '-0.041756127029657364' '-0.04118040204048157'
 '-0.038662388920784' '-0.03669067099690437']","['SFRP4' 'STC1' 'MGARP' 'MINOS1-NBL1' 'MEF2C' 'HSPA4L' 'RARRES2' 'MAML3'
 'NRXN3' 'HEG1' 'TOM1L2' 'DPP7' 'PAMR1' 'FMOD' 'COL3A1' 'SPOCK1' 'GRAMD1B'
 'SOD2' 'CDH13' 'SLC23A2']","['0.6413322687149048' '0.12639133632183075' '0.11519507318735123'
 '0.10606410354375839' '0.10067852586507797' '0.09936372935771942'
 '0.09785274416208267' '0.09767849743366241' '0.09454762190580368'
 '0.09401649236679077' '0.09176009148359299' '0.091718889772892'
 '0.09071685373783112' '0.09020021557807922' '0.08832710236310959'
 '0.08820781111717224' '0.0859781950712204' '0.08336655050516129'
 '0.07680882513523102' '0.07489892095327377']"
DOID:1826,lymphoblast,"['PLAC8' 'ISG15' 'CHI3L2' 'IGHA2' 'HIST1H2BK' 'RPS4Y1' 'HIST1H1C' 'CYAT1'
 'RPL36' 'IGLL3P' 'TMSB10' 'MKNK2' 'IFI44L' 'HIST2H2AA4' 'LAP3' 'RPS11'
 'HMGN1' 'TCL1A' 'IGHV3-48' 'GLRX']","['-0.1635497361421585' '-0.1405712366104126' '-0.1312912106513977'
 '-0.11299122124910355' '-0.11297962814569473' '-0.10336996614933014'
 '-0.10230936855077744' '-0.10088039189577103' '-0.08861745148897171'
 '-0.08073292672634125' '-0.0795733630657196' '-0.07845765352249146'
 '-0.07537712156772614' '-0.07297488301992416' '-0.06854189187288284'
 '-0.06835394352674484' '-0.06342525035142899' '-0.06332172453403473'
 '-0.05969534069299698' '-0.05951796472072601']","['IGHV3-23' 'IGK' 'COX1' 'ND2' 'IGKV4-1' 'RPS14P3' 'IGKV1OR2-108'
 'LOC100510044' 'DCAF6' 'TUBB2A' 'LOC652493' 'COX2' 'LOC100510678'
 'LOC100290036' 'TUBB2B' 'LAPTM5' 'EEF2' 'SH3KBP1' 'TMA7' 'RPL23A']","['0.33127275109291077' '0.20953409373760223' '0.20943056046962738'
 '0.20517683029174805' '0.15094244480133057' '0.1345435231924057'
 '0.13046422600746155' '0.12267874926328659' '0.11786801367998123'
 '0.11751049757003784' '0.10357539355754852' '0.08612077683210373'
 '0.07543375343084335' '0.07121005654335022' '0.07076572626829147'
 '0.06839553266763687' '0.06006039306521416' '0.05799736827611923'
 '0.053191445767879486' '0.052671704441308975']"
DOID:4448,Fibroblast,"['CLEC3B' 'PRSS23' 'MXRA5' 'FBN1' 'TUBA1A' 'ISLR' 'COL3A1' 'CTGF'
 'COL15A1' 'AHNAK' 'S100A10' 'DSTN' 'ACTG2' 'GARS' 'HTRA1' 'SDC3' 'LOXL1'
 'LAMC1' 'PPL' 'HSPG2']","['-0.14605477452278137' '-0.13860675692558289' '-0.12599073350429535'
 '-0.1257469207048416' '-0.10208068788051605' '-0.09760105609893799'
 '-0.09660066664218903' '-0.09512219578027725' '-0.0936208963394165'
 '-0.0855175331234932' '-0.08323695510625839' '-0.08302827924489975'
 '-0.08283930271863937' '-0.07964252680540085' '-0.07672319561243057'
 '-0.0752280205488205' '-0.0750194638967514' '-0.07451982796192169'
 '-0.07293087244033813' '-0.07165750861167908']","['MMP1' 'AKR1C2' 'CYP1B1' 'CTSL' 'TXN' 'SERPINB2' 'ANXA2P3' 'ODC1'
 'TXNRD1' 'MAFF' 'RND3' 'HSP90AA1' 'RPL37' 'AKR1B1' 'HMGN1' 'STEAP1'
 'CEBPB' 'ATP1B3' 'HSPA1A' 'BNIP3L']","['0.1983177214860916' '0.13223648071289062' '0.12225206196308136'
 '0.10656145215034485' '0.09997674822807312' '0.09640491753816605'
 '0.08381351083517075' '0.07541661709547043' '0.07410290092229843'
 '0.06659179925918579' '0.0641447976231575' '0.0621463879942894'
 '0.062119003385305405' '0.0611518993973732' '0.059986602514982224'
 '0.059756241738796234' '0.057133447378873825' '0.056763097643852234'
 '0.05201950669288635' '0.051545627415180206']"
DOID:2055,Peripheral blood mononuclear cell,"['RPS5' 'IGHA2' 'LOC100133662' 'SNORA21' 'LGALS1' 'TCL1A' 'RPS11' 'EEF1D'
 'RPS9' 'ALDOA' 'IGHV4-31' 'FAU' 'RPL29P11' 'RPL18AP3' 'HLA-DPA1' 'FCN1'
 'PPIB' 'MX1' 'RPL21P80' 'IGHD']","['-0.1465734988451004' '-0.12939321994781494' '-0.10932344943284988'
 '-0.09410864859819412' '-0.08904309570789337' '-0.08232728391885757'
 '-0.0748872458934784' '-0.07343091070652008' '-0.07105541229248047'
 '-0.07099641859531403' '-0.06887155026197433' '-0.0685739815235138'
 '-0.06831135600805283' '-0.06725633144378662' '-0.06561378389596939'
 '-0.06557741016149521' '-0.06282325834035873' '-0.05892618000507355'
 '-0.05666973441839218' '-0.056345660239458084']","['DEFA1B' 'HLA-DRB3' 'HBB' 'LTF' 'CAMP' 'HBA2' 'UCP2' 'ARHGDIB' 'FAIM3'
 'LYZ' 'PF4' 'LTB' 'BTG2' 'MYH9' 'RPS27' 'DDX17' 'HLA-DQA1' 'ZYX' 'IL2RG'
 'IL32']","['0.23737114667892456' '0.17510268092155457' '0.15287606418132782'
 '0.14522963762283325' '0.09784194827079773' '0.09750359505414963'
 '0.09746672213077545' '0.0915740430355072' '0.07228605449199677'
 '0.06998060643672943' '0.06636447459459305' '0.06407085061073303'
 '0.06352991610765457' '0.06093583256006241' '0.06055900827050209'
 '0.05963270738720894' '0.05927041545510292' '0.05908969044685364'
 '0.05830320715904236' '0.05769592523574829']"
DOID:3114,Fallopian tube,"['CRISP3' 'OVGP1' 'EP300-AS1' 'LOC100288985' 'SLC40A1' 'CCDC114' 'LENG8'
 'GRAMD2' 'SPARCL1' 'ANAPC4' 'PCAT19' 'RSPH1' 'CIRBP' 'RPL36' 'C3' 'IRS1'
 'LONRF2' 'TPT1' 'RPL23A' 'MALAT1']","['-0.29307249188423157' '-0.229600727558136' '-0.1510903537273407'
 '-0.14808282256126404' '-0.13532987236976624' '-0.11679624766111374'
 '-0.1061418429017067' '-0.0991252213716507' '-0.09623751044273376'
 '-0.08875096589326859' '-0.08387396484613419' '-0.07514294981956482'
 '-0.07094696164131165' '-0.07002044469118118' '-0.06426578015089035'
 '-0.06304679065942764' '-0.06257607042789459' '-0.062338296324014664'
 '-0.06060933321714401' '-0.05737653002142906']","['TMSB10' 'COX2' 'YWHAG' 'HIST1H2AC' 'THBS2' 'RPS18' 'RCC2' 'FTL'
 'IGHV4-31' 'DEK' 'EPR1' 'ADAR' 'DCAF6' 'CDK2AP1' 'TMSB4XP8' 'RPL8'
 'TUBA1C' 'PSMB4' 'HLA-A' 'LOC100505497']","['0.17343474924564362' '0.08758411556482315' '0.08578962832689285'
 '0.08256662636995316' '0.07729918509721756' '0.07557770609855652'
 '0.07544590532779694' '0.07413679361343384' '0.07374397665262222'
 '0.07215096056461334' '0.0705840215086937' '0.06939765065908432'
 '0.06933936476707458' '0.06880725175142288' '0.0686708614230156'
 '0.06734964996576309' '0.0673115998506546' '0.06453653424978256'
 '0.06279809027910233' '0.06253837049007416']"
DOID:4644,Epidermal punch biopsies,"['MIR675' 'HBA2' 'ACTA2' 'APOD' 'LOR' 'CFD' 'CYBRD1' 'HBB' 'IGFBP5'
 'RNASE1' 'LCE2C' 'PPAP2B' 'LHFP' 'DCN' 'LCE2B' 'MFAP4' 'MYH11' 'ACTG2'
 'KPRP' 'PM20D1']","['-0.17535598576068878' '-0.1503067910671234' '-0.11333639174699783'
 '-0.10907994955778122' '-0.0932706668972969' '-0.09007111936807632'
 '-0.08814695477485657' '-0.08698707818984985' '-0.08554752171039581'
 '-0.08231037855148315' '-0.0789375826716423' '-0.07551439851522446'
 '-0.07534913718700409' '-0.07381875067949295' '-0.07303641736507416'
 '-0.0701826736330986' '-0.06965483725070953' '-0.06593374162912369'
 '-0.06320670992136002' '-0.05883488431572914']","['EGR1' 'FADS2' 'SPRR4' 'SPRR1A' 'HLA-DQA1' 'LCE1D' 'DUSP1' 'SPRR1B'
 'LRRC37A4P' 'SPRR2F' 'HLA-DRB3' 'SPRR2G' 'GAPDH' 'HIST1H1E' 'EGR2' 'CNFN'
 'KRTDAP' 'KRT5' 'KRT6B' 'KLK6']","['0.20955438911914825' '0.1684556007385254' '0.14632494747638702'
 '0.11960077285766602' '0.11210872232913971' '0.1052197813987732'
 '0.09826487302780151' '0.09509090334177017' '0.09166201949119568'
 '0.08673553913831711' '0.07943926006555557' '0.07828420400619507'
 '0.07492370903491974' '0.07424408197402954' '0.06955710053443909'
 '0.0677647665143013' '0.06763215363025665' '0.06744986772537231'
 '0.06715568900108337' '0.06699994206428528']"
DOID:2224,Thrombocyte,"['B2M' 'PPBP' 'PF4' 'H3F3AP4' 'NRGN' 'TMSB4XP8' 'FTH1P5' 'NCOA4' 'RPL41'
 'HIST1H2AC' 'HBB' 'MAP3K7CL' 'MLH3' 'NGFRAP1' 'HIST1H3H' 'DYNLL1' 'YPEL5'
 'RPL23A' 'HIST1H2BK' 'DYNLRB1']","['-0.4551387131214142' '-0.3691764175891876' '-0.35326138138771057'
 '-0.3080328404903412' '-0.3024004399776459' '-0.24233360588550568'
 '-0.18682517111301422' '-0.1793815791606903' '-0.13786931335926056'
 '-0.11420512199401855' '-0.1111924946308136' '-0.10490003973245621'
 '-0.08051473647356033' '-0.07590250670909882' '-0.06964422017335892'
 '-0.06336316466331482' '-0.04858356714248657' '-0.04829659312963486'
 '-0.047221068292856216' '-0.045447979122400284']","['HBG2' 'HLA-B' 'TIMP1' 'HLA-A' 'CTSA' 'ARPC1B' 'MYL9' 'IFITM3' 'HLA-C'
 'OAZ1' 'FLNA' 'IFITM2' 'CYB5R3' 'ALDOA' 'ACTG1' 'DAP' 'PDZK1IP1' 'PSAP'
 'HLA-J' 'GPX1']","['0.1207854151725769' '0.10131344199180603' '0.0814305767416954'
 '0.0777897834777832' '0.07272053509950638' '0.06599215418100357'
 '0.0658939853310585' '0.06067918241024017' '0.053350914269685745'
 '0.04642440751194954' '0.04265114292502403' '0.042363449931144714'
 '0.04221779853105545' '0.03955564647912979' '0.035913556814193726'
 '0.035896770656108856' '0.034585949033498764' '0.0325811542570591'
 '0.03014211170375347' '0.030040057376027107']"
